           1     1.64346     1.64346           0
           2     1.69435      1.6689   0.0179894
           3     1.64648     1.66143   0.0134571
           4     1.64785     1.65803   0.0105126
           5     1.61321     1.64907   0.0116201
           6     1.66451     1.65164  0.00996445
           7      1.6016     1.64449   0.0108052
           8      1.6321     1.64294  0.00956497
           9     1.66746     1.64567  0.00888162
          10     1.62403      1.6435  0.00825293
          11     1.65038     1.64413  0.00752629
          12     1.63547     1.64341  0.00693356
          13     1.65682     1.64444  0.00647649
          14     1.64793     1.64469  0.00601868
          15     1.64238     1.64453  0.00561941
          16     1.62974     1.64361  0.00534368
          17      1.6504     1.64401  0.00504424
          18     1.63646     1.64359  0.00478142
          19     1.68206     1.64561  0.00493995
          20       1.676     1.64713  0.00492107
